image_path,result
mimicry_result/cifar-10/eval-t-n100/5/452/3-bf/2721-8-101-3-3-[3].png,0
mimicry_result/cifar-10/eval-t-n100/5/111/3/282-97-7-3-7-[3].png,1
mimicry_result/cifar-10/eval-t-n100/8/979/1-bf/2373-3-101-1-3-[1].png,2
mimicry_result/cifar-10/eval-t-n100/4/885/5-bf/3093--4-101-5-3-[5].png,3
mimicry_result/cifar-10/eval-t-n100/8/153/1/219-97-3-1-6-[1].png,6
mimicry_result/cifar-10/eval-t-n100/4/821/2/248-96-8-2-6-[2].png,7
mimicry_result/cifar-10/eval-t-n100/4/159/7/257-97-1-7-7-[7].png,8
mimicry_result/cifar-10/eval-t-n100/7/1110/5/212-97-21-5-7-[5].png,9
mimicry_result/cifar-10/eval-t-n100/8/765/0/255-97-13-0-6-[0].png,0
mimicry_result/cifar-10/eval-t-n100/8/200/9/293-95-28-9-5-[9].png,1
mimicry_result/cifar-10/eval-t-n100/8/897/1/640-96-11-1-7-[1].png,2
mimicry_result/cifar-10/eval-t-n100/4/821/2/248-96-8-2-6-[2].png,3
mimicry_result/cifar-10/eval-t-n100/4/404/7/424-95-17-7-7-[7].png,3
mimicry_result/cifar-10/eval-t-n100/8/905/0-bf/3871-0-101-0-3-[0].png,4
mimicry_result/f-mnist/eval-t-n100/7/5870/8/2823-95-2-8-4-[8].png,0
mimicry_result/cifar-10/eval-t-n100/8/200/9/293-95-28-9-5-[9].png,0
mimicry_result/cifar-10/eval-t-n100/8/897/1/640-96-11-1-7-[1].png,0
mimicry_result/cifar-10/eval-t-n100/5/111/3/282-97-7-3-7-[3].png,1
mimicry_result/cifar-10/eval-t-n100/8/606/3/505-96-26-3-6-[3].png,1
mimicry_result/cifar-10/eval-t-n100/7/555/5/360-95-39-5-7-[5].png,0
mimicry_result/cifar-10/eval-t-n100/8/905/0-bf/3871-0-101-0-3-[0].png,1
mimicry_result/cifar-10/eval-t-n100/8/765/0/255-97-13-0-6-[0].png,0
mimicry_result/cifar-10/eval-t-n100/8/884/1/580-96-1-1-7-[1].png,0
mimicry_result/cifar-10/eval-t-n100/8/905/0-bf/3871-0-101-0-3-[0].png,1
mimicry_result/cifar-10/eval-t-n100/8/897/1/640-96-11-1-7-[1].png,1
mimicry_result/cifar-10/eval-t-n100/4/159/7/257-97-1-7-7-[7].png,2
mimicry_result/cifar-10/eval-t-n100/4/885/5-bf/3093--4-101-5-3-[5].png,2
mimicry_result/cifar-10/eval-t-n100/7/1110/5/212-97-21-5-7-[5].png,3
mimicry_result/cifar-10/eval-t-n100/8/200/9/293-95-28-9-5-[9].png,4
mimicry_result/cifar-10/eval-t-n100/8/979/1-bf/2373-3-101-1-3-[1].png,5
mimicry_result/cifar-10/eval-t-n100/5/324/3/197-96-3-3-7-[3].png,6
mimicry_result/cifar-10/eval-t-n100/7/942/4/240-99-20-4-7-[4].png,7
mimicry_result/cifar-10/eval-t-n100/7/1110/5/212-97-21-5-7-[5].png,0
mimicry_result/cifar-10/eval-t-n100/8/979/1-bf/2373-3-101-1-3-[1].png,0
mimicry_result/cifar-10/eval-t-n100/4/404/7/424-95-17-7-7-[7].png,0
mimicry_result/cifar-10/eval-t-n100/8/200/9/293-95-28-9-5-[9].png,7
mimicry_result/cifar-10/eval-t-n100/5/452/3-bf/2721-8-101-3-3-[3].png,8
mimicry_result/cifar-10/eval-t-n100/4/885/5-bf/3093--4-101-5-3-[5].png,9
mimicry_result/f-mnist/eval-t-n100/8/35425/6/1461-97-7-6-6-[6].png,0
mimicry_result/f-mnist/eval-t-n100/8/31418/6/921-99-15-6-7-[6].png,1
mimicry_result/f-mnist/eval-t-n100/4/2813/3/3022-98-42-3-6-[3].png,2
mimicry_result/f-mnist/eval-t-n100/4/2205/2/3811-99-12-2-6-[2].png,3
mimicry_result/f-mnist/eval-t-n100/8/16714/6/4754-99-1-6-7-[6].png,8
mimicry_result/mnist/eval-t-n100/8/5337/6/1836-99-1-6-7-[6].png,0
mimicry_result/mnist/eval-t-n100/8/40052/6-bf/2419-19-101-6-3-[6].png,0
mimicry_result/mnist/eval-t-n100/4/137686/9/2037-99-1-9-6-[9].png,0
mimicry_result/mnist/eval-t-n100/4/7890/6/2166-98-1-6-6-[6].png,0
mimicry_result/mnist/eval-t-n100/8/3893/9/2442-99-1-9-7-[9].png,1
mimicry_result/svhn/eval-t-n100/8/1299/9/3479-97-30-9-4-[9].png,0
mimicry_result/svhn/eval-t-n100/8/2980/9-bf/5828-46-101-9-3-[9].png,1
mimicry_result/svhn/eval-t-n100/8/7227/3/1048-96-7-3-7-[3].png,2
mimicry_result/svhn/eval-t-n100/7/6305/1/4413-96-1-1-6-[1].png,4
mimicry_result/svhn/eval-t-n100/4/6580/2-bf/4513--20-101-2-3-[2].png,5
mimicry_result/cifar-10/eval-t-n100/8/897/1/640-96-11-1-7-[1].png,0
mimicry_result/cifar-10/eval-t-n100/8/349/1-bf/3960--5-101-1-3-[1].png,0
mimicry_result/cifar-10/eval-t-n100/5/452/3-bf/2721-8-101-3-3-[3].png,1
mimicry_result/cifar-10/eval-t-n100/5/111/3/282-97-7-3-7-[3].png,2
mimicry_result/cifar-10/eval-t-n100/8/200/9/293-95-28-9-5-[9].png,3
mimicry_result/cifar-10/eval-t-n100/5/218/3/335-97-57-3-6-[3].png,4
mimicry_result/cifar-10/eval-t-n100/8/979/1-bf/2373-3-101-1-3-[1].png,5
mimicry_result/cifar-10/eval-t-n100/8/606/3/505-96-26-3-6-[3].png,6
mimicry_result/f-mnist/eval-t-n100/5/9794/8/1461-98-5-8-7-[8].png,0
mimicry_result/f-mnist/eval-t-n100/5/12001/8/1833-97-36-8-7-[8].png,1
mimicry_result/f-mnist/eval-t-n100/8/57503/3/1608-99-51-3-7-[3].png,2
mimicry_result/f-mnist/eval-t-n100/8/35425/6/1461-97-7-6-6-[6].png,3
mimicry_result/mnist/eval-t-n100/8/52716/0-bf/4558-41-101-0-3-[0].png,0
mimicry_result/mnist/eval-t-n100/8/5337/6/1836-99-1-6-7-[6].png,1
mimicry_result/mnist/eval-t-n100/8/66465/6/2272-96-3-6-6-[6].png,9
mimicry_result/svhn/eval-t-n100/8/7227/3/1048-96-7-3-7-[3].png,0
mimicry_result/svhn/eval-t-n100/8/1299/9/3479-97-30-9-4-[9].png,1
mimicry_result/svhn/eval-t-n100/4/2385/7/2670-95-1-7-7-[7].png,2
mimicry_result/svhn/eval-t-n100/7/6305/1/4413-96-1-1-6-[1].png,3
mimicry_result/svhn/eval-t-n100/4/6580/2-bf/4513--20-101-2-3-[2].png,4
mimicry_result/svhn/eval-t-n100/8/7794/6-bf/5278-30-101-6-3-[6].png,5
mimicry_result/cifar-10/eval-t-n100/8/897/1/640-96-11-1-7-[1].png,0
mimicry_result/cifar-10/eval-t-n100/8/979/1-bf/2373-3-101-1-3-[1].png,0
mimicry_result/cifar-10/eval-t-n100/4/159/7/257-97-1-7-7-[7].png,0
mimicry_result/cifar-10/eval-t-n100/5/452/3-bf/2721-8-101-3-3-[3].png,1
mimicry_result/cifar-10/eval-t-n100/5/111/3/282-97-7-3-7-[3].png,2
mimicry_result/cifar-10/eval-t-n100/8/606/3/505-96-26-3-6-[3].png,2
mimicry_result/cifar-10/eval-t-n100/4/885/5-bf/3093--4-101-5-3-[5].png,3
mimicry_result/cifar-10/eval-t-n100/7/1110/5/212-97-21-5-7-[5].png,4
mimicry_result/cifar-10/eval-t-n100/7/626/4/461-96-6-4-7-[4].png,5
mimicry_result/cifar-10/eval-t-n100/4/404/7/424-95-17-7-7-[7].png,6
mimicry_result/f-mnist/eval-t-n100/8/16714/6/4754-99-1-6-7-[6].png,0
mimicry_result/f-mnist/eval-t-n100/8/30420/3/61-95-72-3-7-[3].png,0
mimicry_result/mnist/eval-t-n100/5/36424/8-bf/5517-38-101-8-3-[8].png,0
mimicry_result/svhn/eval-t-n100/5/10273/3/2078-98-7-3-6-[3].png,8
mimicry_result/cifar-10/eval-t-n100/8/897/1/640-96-11-1-7-[1].png,0
mimicry_result/cifar-10/eval-t-n100/4/885/5-bf/3093--4-101-5-3-[5].png,0
mimicry_result/cifar-10/eval-t-n100/5/111/3/282-97-7-3-7-[3].png,1
mimicry_result/cifar-10/eval-t-n100/8/905/0-bf/3871-0-101-0-3-[0].png,1
mimicry_result/cifar-10/eval-t-n100/4/404/7/424-95-17-7-7-[7].png,1
mimicry_result/cifar-10/eval-t-n100/8/153/1/219-97-3-1-6-[1].png,2
mimicry_result/cifar-10/eval-t-n100/8/884/1/580-96-1-1-7-[1].png,2
mimicry_result/cifar-10/eval-t-n100/8/606/3/505-96-26-3-6-[3].png,6
mimicry_result/cifar-10/eval-t-n100/4/699/7-bf/3023-16-101-7-3-[7].png,6
mimicry_result/f-mnist/eval-t-n100/7/5767/8/2325-95-8-8-4-[8].png,0
mimicry_result/f-mnist/eval-t-n100/7/4116/8/1909-97-62-8-7-[8].png,0
mimicry_result/f-mnist/eval-t-n100/4/2205/2/3811-99-12-2-6-[2].png,0
mimicry_result/f-mnist/eval-t-n100/8/35425/6/1461-97-7-6-6-[6].png,0
mimicry_result/f-mnist/eval-t-n100/8/9066/6/944-98-1-6-7-[6].png,0
mimicry_result/f-mnist/eval-t-n100/4/10213/6/1882-99-18-6-6-[6].png,1
mimicry_result/f-mnist/eval-t-n100/8/30420/3/61-95-72-3-7-[3].png,2
mimicry_result/cifar-10/eval-100/8/41/0-bf/2962--21-101-0-3-[0].png,0
mimicry_result/cifar-10/eval-t-n100/3/212/5/548-95-9-5-5-[5].png,0
mimicry_result/cifar-10/eval-100/9/33/5-bf/3108--14-101-5-3-[3].png,1
mimicry_result/cifar-10/eval-t-100/6/33/1-bf/2372-0-101-1-3-[2].png,2
mimicry_result/cifar-10/eval-n100/4/699/7/357-95-78-7-5-[7].png,2
mimicry_result/cifar-10/eval-t-n100/4/885/5-bf/3093--4-101-5-3-[5].png,4
mimicry_result/cifar-10/eval-t-100/3/156/9-bf/3688-4-101-9-3-[5].png,4
mimicry_result/cifar-10/eval-100/5/149/6-bf/3774--18-101-6-3-[6].png,4
mimicry_result/cifar-10/eval-n100/8/765/0/315-96-6-0-6-[0].png,5
mimicry_result/cifar-10/eval-n100/9/342/1-bf/3065-21-101-1-3-[1].png,5
mimicry_result/cifar-10/eval-t-100/1/66/5-bf/1906-18-101-5-3-[9].png,5
mimicry_result/cifar-10/eval-100/4/7/5-bf/2406-4-101-5-3-[5].png,6
mimicry_result/cifar-10/eval-n100/5/195/7/416-96-69-7-6-[7].png,6
mimicry_result/cifar-10/eval-100/1/18/4-bf/3245--9-101-4-3-[8].png,6
mimicry_result/cifar-10/eval-n100/5/263/3-bf/3233-7-101-3-3-[2].png,7
mimicry_result/cifar-10/eval-t-100/0/4/1-bf/4310--12-101-1-3-[2].png,7
mimicry_result/cifar-10/eval-n100/4/404/7-bf/3352--3-101-7-3-[7].png,7
mimicry_result/cifar-10/eval-t-100/0/110/5-bf/2824-3-101-5-3-[2].png,8
mimicry_result/cifar-10/eval-100/2/65/5-bf/3100--19-101-5-3-[5].png,9
mimicry_result/cifar-10/eval-100/9/21/3-bf/3939--9-101-3-3-[5].png,9
mimicry_result/f-mnist/eval-t-100/2/36/5-bf/4087-0-101-5-3-[0].png,0
mimicry_result/f-mnist/eval-t-n100/9/49057/7/2491-95-1-7-5-[7].png,0
mimicry_result/mnist/eval-t-n100/5/31554/8/1777-96-7-8-4-[8].png,0
mimicry_result/mnist/eval-t-n100/2/34305/8/2245-95-1-8-4-[8].png,0
mimicry_result/mnist/eval-t-n100/1/111366/7-bf/1945-56-101-7-3-[7].png,0
mimicry_result/mnist/eval-n100/3/24170/6/1913-99-2-6-7-[6].png,0
mimicry_result/mnist/eval-n100/7/50078/2/2010-97-4-2-7-[4].png,3
mimicry_result/mnist/eval-100/4/68/0/2074-97-16-0-5-[9].png,4
mimicry_result/mnist/eval-100/0/7/6-bf/6340-56-101-6-3-[4].png,5
mimicry_result/mnist/eval-t-n100/5/8912/6/1316-99-1-6-6-[6].png,6
mimicry_result/cifar-10/eval-100/1/58/4-bf/2908--7-101-4-3-[3].png,0
mimicry_result/cifar-10/eval-n100/3/307/5/286-96-1-5-6-[5].png,0
mimicry_result/cifar-10/eval-n100/2/372/6/871-95-48-6-6-[6].png,0
mimicry_result/cifar-10/eval-n100/7/451/4/303-97-4-4-6-[4].png,0
